Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
558,20-11-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,25,92,29
558,23-11-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,15,25,90,25
558,27-11-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,26,83,23
558,01-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,29,88,33
558,04-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,17,28,82,31
558,07-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,21,32,91,36
558,11-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,22,34,90,34
558,14-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,30,88,33
558,18-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,17,29,85,32
558,21-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,18,30,90,35
558,25-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,29,87,34
558,28-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,20,33,84,32
558,30-12-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,31,81,30
