Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
788,03-02-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,120,NA
788,10-02-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,79,NA
788,18-02-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,73,NA
788,24-02-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,110,NA
788,07-04-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,119,NA
788,16-04-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,93,NA
788,21-04-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,47,NA
788,28-04-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,95,NA
788,05-05-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,52,NA
788,13-05-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,55,NA
788,19-05-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,88,NA
788,26-05-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,41,NA
788,15-09-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,31,NA
788,22-09-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,35,NA
788,29-09-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,NA,32,NA
788,06-10-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",1,NA,57,NA
788,13-10-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,8,57,NA
788,20-10-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,2,63,NA
788,27-10-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,4,51,NA
788,05-11-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,3,56,NA
788,11-11-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,5,74,NA
788,17-11-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,5,32,NA
788,24-11-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,2,61,NA
788,02-12-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,4,76,NA
788,08-12-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,3,74,NA
788,15-12-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,5,78,NA
788,22-12-15,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,5,109,NA
